anio,id_ent,id_act,unidades_eco,produccion,personal,activos
2003,10,811122,32,1.71,47,0.748
2003,10,811129,10,0.686,14,0.621
2003,10,811312,98,50.146,406,45.382
2003,11,314110,15,1.469,26,0.345
2003,11,321920,15,9.952,59,9.532
2003,11,322210,85,2029.313,3301,1209.47
2003,11,323119,607,580.27,3195,359.256
2003,11,324191,6,452.58,206,86.017
2003,11,325120,2,,,
2003,11,325130,17,675.184,406,145.742
2003,11,325211,5,107.645,153,196.071
2003,11,325212,4,355.778,379,124.526
2003,11,325510,8,201.614,296,50.504
2003,11,325993,1,,,
2003,11,326110,38,696.197,1502,197.885
2003,11,326120,11,303.363,245,163.511
2003,11,326140,11,858.602,1673,405.344
2003,11,326150,6,200.065,246,32.765
2003,11,326160,5,190.595,319,214.514
2003,11,326193,5,205.635,258,230.926
2003,11,326194,41,363.558,1176,178.956
2003,11,326198,10,143.61,261,25.043
2003,11,326199,58,171.306,703,36.213
2003,11,326220,4,198.619,360,24.182
2003,11,326290,256,1645.374,5181,617.321
2003,11,327111,390,212.388,2453,115.679
2003,11,327112,4,232.735,851,53.622
2003,11,327121,699,198.034,2491,112.612
2003,11,327122,27,,,
2003,11,327123,1,,,
2003,11,327910,1,,,
2003,11,327991,65,,,
2003,11,327999,9,,,
2003,11,331112,1,,,
2003,11,331210,5,17.419,44,7.007
2003,11,331220,9,2633.712,867,1641.33
2003,11,331310,2,,,
2003,11,331420,2,,,
2003,11,331510,29,35.498,168,16.777
2003,11,331520,32,26.911,187,23.648
2003,11,332110,18,35.028,198,26.48
2003,11,332211,12,1.555,24,1.114
2003,11,332410,3,,,
2003,11,332420,8,64.941,298,20.557
2003,11,332430,2,,,
2003,11,332510,4,0.614,14,2.244
2003,11,332610,11,832.374,504,739.177
2003,11,332710,190,95.367,705,88.33
2003,11,332720,65,57.082,457,29.683
2003,11,332810,7,7.888,60,9.281
2003,11,332910,2,,,
2003,11,332999,151,,,
2003,11,333111,14,11.5,117,12.541
2003,11,333120,3,5.302,43,4.046
2003,11,333130,4,10.335,74,9.649
2003,11,333241,1,,,
2003,11,333242,4,5.514,30,3.641
2003,11,333243,9,19.213,55,3.304
2003,11,333244,30,16.595,146,11.223
2003,11,333245,1,,,
2003,11,333246,1,,,
2003,11,333249,23,60.441,196,14.726
2003,11,333319,2,,,
2003,11,333411,5,6.282,42,4.682
2003,11,333412,4,270.276,573,64.859
2003,11,333510,31,24.356,230,14.725
2003,11,333610,2,,,
2003,11,333910,13,163.99,398,32.232
2003,11,333920,3,11.031,54,5.381
2003,11,333991,1,,,
2003,11,333992,3,23.076,117,16.744
2003,11,333993,1,,,
2003,11,333999,15,17.847,157,8.771
2003,11,334410,5,,,
2003,11,334610,2,,,
2003,11,335311,1,,,
2003,11,335312,10,,,
2003,11,335910,1,,,
2003,11,335920,1,,,
2003,11,335999,5,,,
2003,11,336110,1,,,
2003,11,336210,16,470.18,753,1442.772
2003,11,336310,2,,,
2003,11,336320,3,1810.521,3412,408.452
2003,11,336330,2,,,
2003,11,336340,4,98.288,287,277.196
